"species","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","AirBreathingRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","VulnerabilityClimate","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"Anguilla anguilla",35,"Anguilla",172,"(Linnaeus, 1758)","European eel","Anang_u6.jpg",NA,NA,NA,49,NA,9424,NA,"eel-like","O",NA,NA,0,1,1,1,"demersal","Facultative",126274,"catadromous",51243,0,700,54218,NA,NA,NA,23,106807,55,72462,68.45,NA,121.5,"TL",133,"TL",88166,35,"TL",50,"TL",6125,6599,2850,39903,"ANANG_U0",NA,NA,NA,4931,"commercial","unknown",NA,NA,"from 10,000 to 50,000","Italy of Fishing Area 05","traps"," ",1,1,0,1,1,1,0,0,1,1,"commercial"," ",12108,"never/rarely",NA,"never/rarely"," ",274,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Inhabits all types of benthic habitats from streams to shores of large rivers and lakes. Naturally found only in water bodies connected to the sea (Ref. 59043). Territorial and solitary species; 'schools' of young eels which are observed from time to time are a mass response to outward conditions and not of active assembling (Ref. 172). Amphihaline (Ref. 51442). Migrates to the depths of the Sargasso Sea to spawn (Ref. 172, 51442). Eel larvae (leptocephali) are transparent ribbon-like. They are brought to the coasts of Europe by the Gulf Stream in 7 to 11 months time (Ref. 51442) and can last for up to 3 years (Ref. 8994). They are transformed into glass eels (6-8 cm length, cylindrical in shape and transparent to slightly pigmented in colour). They enter the estuaries and colonize rivers and lakes (Ref. 11941, 51442); some individuals remain in estuaries and coastal waters to grow into adults (Ref. 88171). The glass eel stage is followed by a long feeding period (from the yellow to the silver eel stage) lasting 6-12 years in males (Ref. 6125) and 9-20 years in females (Ref. 6125). Yellow and silver eels are benthic, found under stones, buried in the mud or in crevices (Ref. 89138). Yellow eels eventually lose their pigmentation, becoming dark dorsally and silver ventrally (called silver eels). Silver eels are also characterized by a clear contrasting black lateral line and enlarged eyes (Ref. 6125). At the end of their growth period, they become sexually mature, migrate to the sea and cover great distances during their spawning migration (5,000-6,000 km); with extensive daily vertical migrations between 200 m at night and 600 m during day time, possibly for predator avoidance (Ref. 89140). Gametogenesis occurs entirely during spawning migration. Average life span is usually 15-20 years (Ref. 88171). Male eels can grow up to 50 cm TL (Ref. 39903). Occurs at temperatures ranging from 0-30°C (Ref. 172). Its food includes virtually the whole aquatic fauna (freshwater as well as marine) occurring in the eel's area, augmented with animals living out of water, e.g. worms (Ref. 172). Best temperature for making eels sexually mature is 20-25°C (Ref. 35388). Sensitive to weak magnetic fields (Ref. 89141, 89142). Their high fat content and benthic feeding habits in continental waters make them vulnerable to the bioaccumulation of pollutants, such as heavy metals and organic contaminants, that may result in organ damage and impaired migration capability (Ref. 82710) and lowered genetic variability (Ref. 82711). Review of information supports the view that the European eel population as a whole has declined in most areas, the stock is outside safe biological limits and current fisheries not sustainable (Ref. 82712). Obvious decreasing of the stocks for all the continental native distribution area (Ref. 40476). Utilized fresh, dried or salted, smoked and frozen; can be fried, boiled and baked (Ref. 9988).",NA,0.5,0,1,1990-10-17,65,2021-10-14,97,2003-01-03,NA
"Apistogramma trifasciata",46712,"Apistogramma",36377,"(Eigenmann & Kennedy, 1903)",NA,"Aptri_u8.jpg",NA,NA,NA,349,"Geophaginae",7102,NA,"fusiform-normal","o",NA,NA,0,1,0,0,"benthopelagic","WaterAssumed",NA,"non-migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,3.79999995231628,"SL",4.59999990463257,NA,36377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on breeding",12251,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Eggs are deposited on the ceiling of caves (Ref. 1672).  Biparental care of eggs and larvae (Ref. 1672).",NA,0.5,0,34,1998-03-02,65,2013-07-15,409,2000-12-06,NA
"Bellapiscis medius",46328,"Bellapiscis",13227,"(Günther, 1861)","Twister",NA,NA,NA,NA,390,"Tripterygiinae",10238,NA,"fusiform-normal","R",NA,NA,0,0,0,1,"demersal","Facultative",126274,"non-migratory",NA,0,5,9003,NA,NA,NA,NA,NA,NA,NA,10,NA,7.5,"SL",NA,NA,9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults occur in rock pools and surge zones.  They may remain out of water under rocks or seaweed (Ref. 31184).  They feed on mollusks and minute crustaceans, including barnacles.  This agile species eludes predators by alternately remaining motionless, then rapidly darting to a new location.  Feeding occurs even in the swash zone where the fish rapidly darts with the surge and clinging to the rock as the water recedes, often being left exposed on the damp open rock (Ref. 26966).  Eggs are hemispherical and covered with numerous sticky threads that anchor them in the algae on the nesting sites (Ref. 240).  Larvae are planktonic which occur primarily in shallow, nearshore waters (Ref. 94114).  They breathe air when out of water (Ref. 31184).",NA,0.75,0,113,1998-02-15,2,2014-03-19,NA,NA,NA
"Boreogadus saida",319,"Boreogadus",1371,"(Lepechin, 1774)","Polar cod","Bosai_u0.jpg",NA,NA,NA,183,NA,3525,NA,"elongated","R",NA,NA,0,0,1,1,"demersal","WaterAssumed",NA,"oceanodromous",12074,0,1383,58426,0,400,1371,7,1371,NA,NA,45.92,40.03,40,"TL",NA,NA,1371,25,"TL",NA,NA,1371,NA,NA,NA,"BOSAI_U0",NA,NA,NA,4931,"highly commercial","high","Reliable: based on ex-vessel price for this species","Catches are declining.","from 50,000 to 100,000","from USSR in area 61","trawls","unspecified bottom trawls (TB)",1,1,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Occurs in coastal habitats during summer and winter (Ref. 1371).  Cryopelagic or epontic, from surface down to 1383 m (Ref. 58426).  In the Beaufort Sea, it may also be found in brackish lagoons and in almost fresh water in river mouths (Ref. 1371).  Although associated with the occurrence of ice (White Sea), it is present in ice-free near-shore waters (Alaska) (Ref. 1371).  Onshore-offshore movements are associated with spawning and movements of the ice (Ref. 27547).  Feeds mostly on epibenthic mysids, also amphipods, copepods and fishes (Ref. 1371).  Also caught with mid-water trawls (Ref. 1371).  Utilized as fishmeal and source of oil (Ref. 1371).  Euryhaline and eurythermic.",NA,1,0,2,1990-10-17,65,2021-06-17,2,1994-04-25,NA
"Caesio cuning",919,"Caesio",1723,"(Bloch, 1791)","Redbelly yellowtail fusilier","Cacun_u5.jpg",NA,NA,NA,459,"Caesioninae",4855,NA,"fusiform-normal","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,60,86942,NA,NA,NA,NA,NA,NA,NA,44,NA,60,"TL",NA,NA,402,NA,NA,NA,NA,NA,NA,NA,NA,"CACUN_U1",NA,NA,NA,171,"commercial","medium","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,"various gears",NA,0,1,0,1,0,1,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Often in silty areas with low visibility at 1-30 m depth (Ref. 90102).  Inhabits coastal areas, usually over rocky and coral reefs.  Forms schools in midwater and feeds on zooplankton.  Oviparous, with numerous, small pelagic eggs (Ref. 402).  Taken primarily by handline in Sri Lanka; caught mostly by fish traps in western Thailand and Malaysia; caught in trawls in the Gulf of Thailand; caught by a variety of methods including drive-in nets, fish traps and gill nets in Indonesia, the Philippines and Papua New Guinea.  The most ancestral living caesionid species.",NA,0.501999974250793,0,2,1990-10-17,2310,2015-05-15,23,1993-06-25,NA
"Carassius auratus",271,"Carassius",7050,"(Linnaeus, 1758)","Goldfish","Caaurau1.jpg",NA,NA,NA,122,"Cyprininae",3499,NA,"fusiform-normal","O",NA,NA,0,1,1,0,"benthopelagic","WaterAssumed",NA,"potamodromous",51243,0,20,6898,NA,NA,NA,41,72468,30,3672,24.37,NA,48,"TL",NA,NA,27549,10,"TL",NA,NA,9987,NA,NA,NA,"CAAUR_UA",NA,NA,NA,9987,"commercial","unknown",NA,NA,"from 1,000 to 10,000",NA,"seines"," ",0,1,0,0,0,0,0,0,0,1,"commercial"," ",12108,"occasionally",4709,"highly commercial","based mainly on breeding",1672,1,4699,"potential pest",NA,"no special ability",NA,NA,1,"Inhabit rivers, lakes, ponds and ditches (Ref. 5258, 10294) with stagnant or slow-flowing water (Ref. 30578).  Occur in eutrophic waters, well vegetated ponds and canals (Ref. 59043).  Live better in cold water.  Feed mainly on plankton, benthic invertebrates, plant material and detritus (Ref. 59043).  Goldfish lay eggs on submerged vegetation.  Females spawn multiple times during the spawning period (Ref. 88808).  Oviparous, with pelagic larvae.  They last long in captivity (Ref. 7248).  Maximum recorded salinity is 17 ppt (Ref. 39171), but unable to withstand prolonged exposure above 15 ppt (Ref. 39172, 39174).  Used as an experimental species (Ref. 4537).  Valued as ornamental fish for ponds and aquaria; edible but rarely eaten (Ref. 9987).  Aquarium keeping:  in groups of 5 or more individuals; minimum aquarium size 100 cm (Ref. 51539).  Reported individual hooked by an angler in a lake in Poole, Dorset measured 40 cm (16 in), weighing 2.3 kg (Practical Fishkeeping, 2010).",NA,0.515600025653839,0,2,1990-10-17,10,2018-04-04,97,2005-06-23,NA
"Centropristis striata",361,"Centropristis",7251,"(Linnaeus, 1758)","Black seabass","Cestr_u4.jpg",NA,NA,NA,289,NA,1092,NA,"fusiform-normal","O",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"oceanodromous",51243,1,NA,9988,NA,NA,NA,20,34089,4,273,39.62,45.99,66,"TL",NA,NA,40637,30,"TL",NA,NA,3708,4300,NA,4699,"CESTR_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 1,000 to 10,000","USA only in area 31",NA,NA,0,0,0,1,0,1,1,0,1,1,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums",NA,273,1,4699,"venomous",9988,"no special ability",NA,NA,1,"Commonly found around rock jetties and on rocky bottoms in shallow water.  Marketed fresh and eaten fried, broiled and baked (Ref. 9988).",NA,0.531199991703033,0,2,1990-10-17,2,2014-03-03,10,1994-08-13,NA
"Channa argus",4799,"Channa",82587,"(Cantor, 1842)","Snakehead","Charg_u7.jpg",NA,NA,NA,431,NA,7138,NA,"elongated","O",NA,NA,0,1,0,0,"benthopelagic","Obligate",126274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.19,NA,100,"TL",NA,NA,56557,NA,NA,NA,NA,NA,8000,NA,56557,NA,NA,NA,NA,2058,"commercial","unknown",NA,NA," ",NA," "," ",0,0,0,0,0,0,0,0,0,0,"commercial"," ",12108,"never/rarely",NA,"public aquariums","based mainly on capture",2060,0,NA,"potential pest",45309,"no special ability",NA,NA,1,"Can stay out of the water for 3 to 4 days at temperatures ranging from 10 to 15°C (Ref. 37350).  Is a typical ambush predator that lies in wait for its prey on the bottom.  Hunts mainly in the morning and in the evening, feeding primarily on fish (Ref. 12569).  Matures at the age of 2 years and length of 30 cm.  Spawns in June and July (Ref. 56557).  Eggs are pelagic.  Utilized for human consumption.",NA,0.5,0,2,1991-12-09,10,2014-08-05,97,2003-01-09,NA
"Chromis atripectoralis",5450,"Chromis",7247,"Welander & Schultz, 1951","Black-axil chromis","Chatr_uh.jpg",NA,NA,NA,350,"Chrominae",2049,NA,"short and-or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,29,9710,NA,NA,NA,NA,NA,NA,NA,10,NA,12,"TL",NA,NA,30874,NA,NA,NA,NA,NA,NA,NA,NA,"CHATR_U1",NA,NA,NA,NA,"subsistence fisheries","unknown",NA,NA,NA,NA,"gillnets",NA,0,1,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4537,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit clear lagoons, passages, and seaward reef slopes, in thickets of live or dead coral.  They occur in large aggregations feeding above staghorn <i>Acropora</i> corals (Ref. 9710).  Stomach contents of individuals examined included mainly copepods, amphipods, and zoea.  Diurnal species (Ref. 54980; 113699).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,1,1992-05-07,14,2019-10-21,34,1994-08-03,NA
"Chromis viridis",5679,"Chromis",7247,"(Cuvier, 1830)","Blue green damselfish","Chvir_u2.jpg",NA,NA,NA,350,"Chrominae",2049,NA,"short and-or deep","R",NA,NA,0,0,0,1,"reef-associated","WaterAssumed",NA,"non-migratory",NA,1,20,86942,NA,NA,NA,NA,NA,NA,NA,10,NA,10,"TL",NA,NA,90102,NA,NA,NA,NA,NA,NA,NA,NA,"CHVIR_U0",NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",7309,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults are found in large aggregations above thickets of branching <i>Acropora</i> corals in sheltered areas such as subtidal reef flats and lagoons.  Juveniles closely tied to individual coral heads (Ref. 9710).  Phytoplankton feeders.  Breeding is done on sand and rubble.  Males prepare nest for spawning which is shared with several females.  Large number of eggs spawned hatching in 2-3 days.  Males guard the nest ventilating fertilized egg with their caudal fins and feeding on those which do not hatch.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205). Diurnal species (Ref. 54980; 113699).",NA,0.5,0,14,1992-06-11,2542,2019-10-23,65,1994-08-26,NA
"Chrysoblephus laticeps",5529,"Chrysoblephus",3507,"(Valenciennes, 1830)","Roman seabream","Chlat_u0.jpg",NA,NA,NA,330,NA,2695,NA,"short and-or deep","O",NA,NA,0,0,0,1,"demersal","WaterAssumed",NA,NA,NA,1,100,3198,NA,NA,NA,NA,NA,NA,NA,53.86,NA,50,"TL",NA,NA,3507,32,"TL",NA,NA,3507,4200,NA,3670,NA,NA,NA,NA,3507,"commercial","low","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,"hooks and lines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"potential","based mainly on capture",3198,1,4332,"harmless",NA,"no special ability",NA,NA,1,"Occurs above rocky bottoms in deeper water to 100 m but often caught from shore.  Juveniles occur in shallow-water beds of seaweed where they feed on minute crustacean (Ref. 3670).  Feeds on mollusks, crustaceans, worms and fish.  Females transform into territorial males with growth (Ref. 3198).  Voracious but sluggish, takes any bait.  Good food fish (Ref. 3198).  Sold fresh (Ref. 3507). It is parasitised by the monogenean <i>Anoplodiscus cirrusspiralis</i> on the fins and body surface (Ref. 124057).",NA,0.515600025653839,0,3,1992-06-02,2758,2021-05-05,2,1994-08-24,NA
"Clarias gariepinus",1934,"Clarias",248,"(Burchell, 1822)","North African catfish","Clgar_u8.jpg",NA,NA,NA,139,NA,7358,NA,"elongated","R",NA,NA,0,1,0,0,"benthopelagic","Facultative",126274,"potamodromous",51243,0,80,34291,NA,NA,NA,15,94815,16.2000007629395,72462,79.08,NA,170,"TL",NA,NA,40637,90,"NG",NA,NA,34290,60000,NA,4537,"CLGAR_U1",NA,NA,NA,4931,"minor commercial","unknown",NA,NA,"up to 1,000 tons/year",NA,"gillnets"," ",1,1,0,1,0,1,0,0,0,1,"commercial"," ",26920,"never/rarely",NA,"never/rarely"," ",NA,1,4537,"potential pest",4537,"weakly discharging",10011,NA,1,"Adults occur mainly in quiet waters, (vegetated fringes of) rivers and lakes, (isolated) pools (Ref. 248, 28714), irrigation and sewage effluent canals (Ref. 28714), and prefer rather shallow and swampy areas with a soft muddy substrate and calmer water (Ref. 78218). They may also occur in fast flowing rivers and in rapids (Ref. 248, 78218). Recorded as having been or being farmed in rice fields (Ref. 119549). The two known colour types appear to correlate with water turbidity and substrate type (Ref. 81644). Widely tolerant of extreme environmental conditions (Ref. 6465). Water parameters appear to play only a very minor role (Ref. 78218). The presence of an accessory breathing organ enables this species to breath air when very active or under very dry conditions. They remain in the muddy substrates of ponds and occasionally gulp air through the mouth (Ref. 6465). Can leave the water at night using its strong pectoral fins and spines in search of land-based food or can move into the breeding areas through very shallow pathways (Ref. 6868). Omnivorous bottom feeders which occasionally feed at the surface (Ref. 248), but essentially a predator feeding on crustaceans, insects and fish (Ref. 28714). Feed at night on a wide variety of prey (Ref. 6868) like insects, plankton, invertebrates and fish but also take in young birds, rotting flesh and plants (Ref. 6465). Migrate to rivers and temporary streams to spawn (Ref. 34291), and a major floodplain migrant, spawning throughout the flood season, in the Sudd (Sudan) (Ref. 28714). Also caught with dragnets. During intra-specific aggressive interactions, this species was noted to generate electric organ discharges that were monophasic, head-positive and lasting from 5-260 ms (Ref. 10479). Known as sharptooth catfish in aquaculture, a highly recommended food fish in Africa (Ref. 52863). Marketed fresh and frozen; eaten broiled, fried and baked (Ref. 9987).",NA,0.5,0,3,1990-11-10,1307,2019-07-31,10,2003-09-05,NA
"Coryphaena hippurus",6,"Coryphaena",26,"Linnaeus, 1758","Common dolphinfish","Cohip_ud.jpg",NA,NA,NA,315,NA,6651,NA,"elongated","R",NA,NA,0,0,1,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,0,85,13608,5,10,40849,4,2885,NA,NA,39.64,69.51,210,"TL",NA,NA,9846,100,"TL",NA,NA,3390,40000,NA,30874,"COHIP_U0",NA,NA,NA,4931,"highly commercial","high","Reliable: based on ex-vessel price for this species",NA,"from 10,000 to 50,000",NA,"various gears"," ",1,1,0,0,0,0,0,0,1,0,"commercial"," ",3691,"never/rarely",NA,"never/rarely"," ",NA,1,4699,"reports of ciguatera poisoning",30911,"no special ability",NA,NA,1,"Adults are found in open waters but also near the coast (Ref. 9293, 11230).  Form schools.  Feed on almost all  forms of fish and zooplankton; also takes crustaceans and squid (Ref. 2850).  Sexual maturity is reached in 4-5 months (3 for captive fish) (Ref. 11441).  Spawn in the open sea and probably approximate to the coast when water temperature rises (Ref. 9293).  Eggs and larvae are pelagic (Ref. 6755).  Attracting devices such as floating bundles of bamboo reeds or cork planks are used to concentrate dolphin fish before the nets are set.  Marketed frozen (Ref. 9987) and fresh and is of high value (Ref. 9293). Caught by trolling and on tuna longlines; also occasionally with drift nets (Ref. 9846).",NA,1,0,2,1990-10-17,97,2019-02-14,133,1995-10-05,NA
"Ctenopharyngodon idella",79,"Ctenopharyngodon",48,"(Valenciennes, 1844)","Grass carp","Ctide_u4.jpg",NA,NA,NA,751,NA,44,NA,"fusiform-normal","O",NA,NA,0,1,1,0,"benthopelagic","WaterAssumed",NA,"potamodromous",51243,0,30,6898,NA,NA,NA,21,48,NA,NA,69.2,NA,150,"TL",NA,NA,30578,10.6999998092651,"SL",NA,NA,35840,45000,NA,7248,"CTIDE_U0",NA,NA,NA,4931,"minor commercial","unknown",NA,NA,"more than 500,000",NA,"seines"," ",1,0,0,0,0,0,0,0,0,0,"commercial","life cycle closed in commercial culture",12108,"never/rarely",NA,"never/rarely","based mainly on breeding",12253,1,4699,"potential pest",NA,"no special ability",NA,NA,1,"Adults occur in lakes, ponds, pools and backwaters of large rivers (Ref. 5723), preferring large, slow-flowing or standing water bodies with vegetation.  Tolerant of a wide range of temperatures from 0° to 38°C, and salinities to as much as 10 ppt and oxygen levels down to 0.5 ppm.  Feed on higher aquatic plants and submerged grasses; takes also detritus, insects and other invertebrates.  One of the world's most important aquaculture species and also used for weed control in rivers, fish ponds and reservoirs (Ref. 9987).  Spawn on riverbeds with very strong current (Ref. 30578).  Utilized also fresh and eaten steamed, pan-fried, broiled and baked (Ref. 9987).  Considered as a pest in most countries because of the damages made to submerged vegetation (Ref. 43281).",NA,1,0,4,1990-10-17,10,2020-01-16,97,2003-01-03,NA
"Cyprinus carpio",1450,"Cyprinus",59043,"Linnaeus, 1758","Common carp","Cycar_ua.jpg","Cycar_m0.jpg",NA,"Cycar_u3.jpg",122,"Cyprininae",123,NA,"fusiform-normal","O",NA,NA,0,1,1,0,"benthopelagic","WaterAssumed",NA,"potamodromous",51243,0,29,120823,NA,NA,NA,38,72479,47,274,41.5,NA,120,"TL",NA,NA,27549,31,"TL",NA,NA,3561,40090,NA,72380,"CYCAR_U2",NA,NA,NA,4931,"highly commercial","unknown",NA,NA,"more than 500,000","In southeastern Europe.","seines"," ",1,1,1,0,0,0,0,1,1,0,"commercial","life cycle closed in commercial culture",12108,"never/rarely",NA,"commercial","based mainly on breeding",1739,1,4699,"potential pest",NA,"no special ability",NA,NA,1,"Inhabits warm, deep, slow-flowing and still waters such as lowland rivers and large, well vegetated lakes (Ref. 59043).  Hardy and tolerant of a wide variety of conditions but generally favor large water bodies with slow flowing or standing water and soft bottom sediments.  Thrive in large turbid rivers (Ref. 1998).   Most active at dusk and dawn.  Both adults and juveniles feed on a variety of benthic organisms and plant material.  Breeds along shores or in backwaters.  Adults often undertake considerable spawning migration to suitable backwaters and flooded meadows. Larvae survive only in very warm water among shallow submerged vegetation (Ref. 59043).  Occurs at depths of <30m (Ref. 120613) and found sucking in floating insects at the surface (Ref. 120823). River regulation and hybridization with domesticated stocks, East Asian congeners and their hybrids have caused continuous decline of wild populations (Ref. 59043).  Utilized fresh and frozen (Ref. 9987).  Aquarium keeping:  in groups of 5 or more individuals; minimum aquarium size >200 cm; not recommended for home aquariums (Ref. 51539).",NA,0.5,0,2,1990-10-17,10,2019-08-18,97,2003-01-14,NA
"Danio rerio",4653,"Danio",4832,"(Hamilton, 1822)","Zebra danio","Darer_u4.jpg",NA,NA,NA,749,"Danioninae",5364,NA,"fusiform-normal","O",NA,NA,0,1,0,0,"benthopelagic","WaterAssumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,47810,11.36,NA,3.79999995231628,"SL",NA,NA,41236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4832,"of no interest","unknown",NA,NA,NA,NA,"seines"," ",0,0,0,0,1,0,0,0,0,0,"never/rarely"," ",NA,"never/rarely",NA,"highly commercial","based mainly on breeding",1672,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit streams, canals, ditches, ponds and beels (Ref. 1479).  Occur in slow-moving to stagnant standing water bodies, particularly rice-fields (Ref. 4832); and lower reaches of streams (Ref. 58912).  Common in rivulets at foot hills (Ref. 41236).  Feed on worms and small crustaceans (Ref. 7020); also on insect larvae.  Breed all year round (Ref. 58913). Appears to be primarily an annual species in the wild, the spawning season starting just before the onset of the monsoon (Ref. 72224).  Domesticated zebrafish live on average 3.5 years, with oldest individuals surviving up to 5.5 years (Ref. 58923). Spawning is induced by temperature and commences at the onset of the monsoon season (Ref. 58913).  Food availability also acts as cue for breeding (Ref. 58913).  Growth rate is a vital guiding environmental factor for sexual differentiation for this species as observed in a study (Ref. 58948).  In this same study, frequency and amount of food prior to and throughout gonadal differentiation period resulted in more individuals differentiating to become females and is more pronounced in hybrid than pure bred groups (Ref. 58948).  Often used for mosquito control (Ref 6351).  Popular for aquarium purposes (Ref. 44325).  Used as a model system (=organism) for developmental biology (Ref. 47810).  Aquarium keeping:  in groups of 5 or more individuals; minimum aquarium size 60 cm (Ref. 51539).",NA,0.5,0,1,1991-09-14,3,2011-07-07,10,1994-06-15,NA
"Dicentrarchus labrax",63,"Dicentrarchus",6916,"(Linnaeus, 1758)","European seabass","Dilab_u8.jpg",NA,NA,NA,487,NA,3216,NA,"fusiform-normal","R",NA,NA,0,1,1,1,"demersal","WaterAssumed",NA,"oceanodromous",NA,10,100,9987,NA,NA,NA,30,59043,30,273,66.07,46.98,103,"TL",NA,NA,40637,50,"TL",NA,NA,6916,12000,NA,1468,"DILAB_U0",NA,"DILAB_L0",NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 1,000 to 10,000","Mainly FAO Fishing Areas 37 and 34."," "," ",1,1,0,0,0,1,0,0,1,0,"commercial"," ",12108,"never/rarely",NA,"never/rarely","based mainly on capture",273,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Adults manifest demersal behavior, inhabit coastal waters down to about 100 m depth but more common in shallow waters (Ref. 54221, 57391). Found in the littoral zone on various kinds of bottoms on estuaries, lagoons and occasionally rivers.  They enter coastal waters and river mouths in summer, but migrate offshore in colder weather and occur in deep water during winter in the northern range.  Young fish form school, but adults appear to be less gregarious (Ref. 9987).  Feed chiefly on shrimps and mollusks, also on fishes (Ref. 5990).  Juveniles feed on invertebrates, taking increasingly more fish with age. Adults piscivorous . (Ref. 59043).  Spawn in batches (Ref. 51846).  Spawning takes place in the spring near the British Isles, and earlier in its southern range.  Eggs are pelagic (Ref. 35388).  Marketed fresh or smoked (Ref. 9987).  Highly sought by sport fishermen (Ref. 30578).",NA,0.765600025653839,0,1,1990-10-17,2,2018-08-06,14,2001-01-30,NA
"Discogobio yunnanensis",55424,"Discogobio",75176,"(Regan, 1907)",NA,"Diyun_u0.jpg",NA,NA,NA,122,"Labeoninae",2968,NA,"elongated","O",NA,NA,0,1,0,0,"benthopelagic","WaterAssumed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,14.8000001907349,"SL",NA,NA,108468,5.30000019073486,"SL",NA,NA,35840,36.0999984741211,NA,115192,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Adults inhabit torrential water of mountain area, clinging to the substrata on bottom by the sucking disc of mouth (Ref. 38450).  Local people claim that this fish feeds mainly on algae (Ref. 75176).",NA,0.5,0,10,2000-03-16,65,2018-04-25,NA,NA,NA
